Date,Description,Amount
2026-04-01,Swiggy Bangalore,250
2026-04-01,Ola Cabs,180
2026-04-02,Netflix Subscription,649
2026-04-03,Mess Fees April,3500
2026-04-04,Amazon Kindle - Atomic Habits,399
2026-04-05,Jio Recharge,299
2026-04-06,Zomato,420
2026-04-07,Hostel Rent April,8000
2026-04-08,Uber Bangalore,160
2026-04-10,BESCOM Electricity,520
2026-04-12,Spotify Premium Student,59
2026-04-13,Swiggy,310
2026-04-14,Domino's Pizza,540
2026-04-15,Crossword Books,1100
2026-04-16,ATM Cash Withdrawal,2000
2026-04-18,Flipkart Headphones,1499
2026-04-20,Tiffin Service,1800
2026-04-22,Auto Rickshaw,90
2026-04-25,Tata Power Bill,180
2026-04-26,Zomato Hyderabad,360
